id,population
MCM699N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM700N17_B_sp_Mexico_BOLD_AAB9669,Central_America
MCM701N17_B_sp_Mexico_BOLD_AAB9669,Central_America
SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782,Central_America
ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791,Europe
ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483,Europe
ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987,Central_America
ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934,North_America
ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782,Central_America
ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496,Central_America
ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782,Central_America
ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782,Central_America
ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782,Central_America
ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782,Central_America
ZPLMX411N06_B_tubicen_Guatemala_BOLD_AAD9782,Central_America
ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496,Central_America
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496,Central_America
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496,Central_America
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496,Central_America
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496,Central_America
ZPLV327N18_Bosmina_Colombia_BOLD_ADO6195,South_America
ZPLV328N18_Bosmina_Colombia_BOLD_ADO6195,South_America
ZPLV330N18_Bosmina_Colombia_BOLD_ADO6195,South_America
ZPLV333N18_Bosmina_Colombia_BOLD_ADO6195,South_America
ZPLV337N18_Bosmina_Colombia_BOLD_ADO6195,South_America
ZPLV371N18_Bosmina_Colombia_BOLD_ADO6195,South_America
ZTITI005N23_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI007N23_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI008N23_Bosmina_Peru_BOLD_AAW7826,South_America
